Index	Compounds	物质	Class II	omt.counts	CK0_1	CK0_2	CK0_3	GCP1_1	GCP1_2	GCP1_3	GCP2_1	GCP2_2	GCP2_3	GCP3_1	GCP3_2	GCP3_3	GCP4_1	GCP4_2	GCP4_3	GCP5_1	GCP5_2	GCP5_3	GCP6_1	GCP6_2	GCP6_3	GCP8_1	GCP8_2	GCP8_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3
Hmxp006586	5-Hydroxy-7,3’,4’-trimethoxyflavone	5-羟基-7,3',4'-三甲氧基黄酮	Flavonoid	3	6.47E+05	5.88E+05	6.17E+05	1.01E+06	1.09E+06	1.32E+06	1.02E+06	6.90E+05	2.51E+06	1.99E+06	1.57E+06	2.42E+06	2.13E+06	2.94E+06	2.03E+06	2.26E+06	2.27E+06	2.24E+06	3.23E+06	2.95E+06	3.51E+06	3.42E+06	3.91E+06	2.17E+06	4.67E+06	5.14E+06	4.21E+06	5.37E+06	6.47E+06	6.06E+06	4.61E+06	4.02E+06	5.21E+06	5.61E+06	8.20E+06	6.90E+06
Lmzp004885	Tricin (5,7,4'-Trihydroxy-3',5'-dimethoxyflavone)	苜蓿素(麦黄酮)	Flavonoid	2	4.80E+04	3.36E+04	4.08E+04	2.69E+04	2.53E+04	4.05E+04	1.18E+05	9.68E+04	9.43E+04	3.34E+04	2.77E+04	3.90E+04	4.73E+04	3.52E+04	2.84E+04	1.27E+05	2.05E+05	4.96E+04	9.03E+04	8.09E+04	9.97E+04	3.82E+05	2.24E+05	2.88E+05	7.63E+04	7.62E+04	7.64E+04	1.03E+05	1.60E+05	2.02E+05	2.32E+05	2.62E+05	2.02E+05	3.03E+05	3.20E+05	3.11E+05
Lmsp011053	7-Hydroxy-2',5,8-Trimethoxyflavanone	7-羟基-2',5,8-三甲氧基黄烷酮	Dihydroflavone	3	2.61E+06	2.67E+06	2.64E+06	1.97E+06	1.63E+06	1.53E+06	2.05E+06	2.75E+06	2.19E+06	2.62E+06	2.38E+06	2.87E+06	2.52E+06	3.38E+06	2.25E+06	2.98E+06	2.66E+06	3.29E+06	3.50E+06	3.51E+06	3.48E+06	3.19E+06	3.35E+06	2.62E+06	2.92E+06	3.24E+06	2.60E+06	2.58E+06	2.39E+06	2.53E+06	2.78E+06	2.64E+06	2.91E+06	2.42E+06	2.23E+06	2.32E+06
pmp000109	5,7,8,4'-Tetramethoxyflavone	5,7,8,4'-四甲氧基黄酮	Flavonoid	4	1.97E+07	2.09E+07	2.03E+07	2.04E+07	1.89E+07	1.92E+07	1.84E+07	2.00E+07	1.81E+07	2.29E+07	2.26E+07	2.31E+07	2.35E+07	2.48E+07	2.25E+07	2.23E+07	2.23E+07	2.23E+07	2.72E+07	2.77E+07	2.68E+07	2.26E+07	2.24E+07	2.22E+07	2.15E+07	2.15E+07	2.14E+07	2.00E+07	2.04E+07	2.10E+07	2.53E+07	2.45E+07	2.61E+07	1.91E+07	1.86E+07	1.89E+07
Lmcp007240	5,6,7,4'-Tetramethoxyflavone	5,6,7,4'-四甲氧基黄酮	Flavonoid	4	4.27E+06	4.35E+06	4.31E+06	4.27E+06	3.81E+06	3.90E+06	3.86E+06	4.02E+06	3.71E+06	4.62E+06	4.42E+06	4.81E+06	4.73E+06	5.12E+06	4.31E+06	4.35E+06	4.33E+06	4.36E+06	5.48E+06	5.49E+06	5.47E+06	4.19E+06	4.49E+06	4.25E+06	4.07E+06	4.03E+06	4.12E+06	3.88E+06	3.89E+06	4.23E+06	5.12E+06	4.98E+06	5.26E+06	3.74E+06	3.40E+06	3.57E+06
Lmsp009872	5,7,3',4'-Tetramethoxyflavone	5,7,3',4'-四甲氧基黄酮	Flavonoid	4	2.24E+07	2.37E+07	2.31E+07	2.48E+07	2.46E+07	2.47E+07	1.80E+07	2.20E+07	2.13E+07	2.38E+07	2.26E+07	2.51E+07	2.67E+07	2.49E+07	2.45E+07	2.43E+07	2.28E+07	2.58E+07	3.01E+07	3.08E+07	2.94E+07	2.12E+07	2.24E+07	2.03E+07	2.33E+07	2.37E+07	2.30E+07	2.10E+07	2.23E+07	2.17E+07	2.47E+07	2.40E+07	2.53E+07	2.17E+07	2.09E+07	2.13E+07
Zmlp007578	3,3',4-O-Trimethylellagic acid	3,3',4-O-三甲基鞣花酸	Tannin	3	1.21E+05	1.24E+05	1.22E+05	1.33E+05	1.17E+05	1.21E+05	1.27E+05	1.19E+05	1.19E+05	1.33E+05	1.33E+05	1.33E+05	1.38E+05	1.56E+05	1.29E+05	1.33E+05	1.38E+05	1.29E+05	1.68E+05	1.75E+05	1.61E+05	1.32E+05	1.50E+05	1.36E+05	1.21E+05	1.15E+05	1.27E+05	1.10E+05	1.17E+05	1.26E+05	1.55E+05	1.52E+05	1.58E+05	1.13E+05	9.74E+04	1.05E+05
mws1474	5,7-Dihydroxy-3',4',5'-trimethoxyflavone	5,7-二羟基-3',4',5'-三甲氧基黄酮	Flavonoid	3	6.22E+06	6.88E+06	6.55E+06	1.02E+07	9.12E+06	1.02E+07	1.93E+07	1.37E+07	1.52E+07	1.52E+07	1.43E+07	1.61E+07	1.35E+07	1.62E+07	1.34E+07	1.94E+07	2.23E+07	1.66E+07	1.32E+07	1.35E+07	1.28E+07	2.04E+07	1.88E+07	2.17E+07	1.02E+07	1.04E+07	9.98E+06	1.67E+07	1.64E+07	2.26E+07	1.87E+07	1.93E+07	1.82E+07	1.93E+07	2.01E+07	1.97E+07
HJAP058	5,6,7,4'-Tetramethoxyflavanone	5,6,7,4'-四甲氧基黄烷酮	Flavonoid	4	3.89E+05	3.82E+05	3.86E+05	4.42E+05	4.43E+05	5.02E+05	6.64E+05	6.67E+05	6.60E+05	6.83E+05	6.80E+05	6.86E+05	9.48E+05	1.49E+06	8.40E+05	1.35E+06	1.30E+06	1.40E+06	8.32E+05	9.11E+05	7.53E+05	7.98E+05	7.35E+05	7.34E+05	5.53E+05	5.59E+05	5.47E+05	8.46E+05	1.09E+06	1.06E+06	7.29E+05	7.26E+05	7.32E+05	1.59E+06	1.32E+06	1.46E+06
Lmsp009245	3',5-Dihydroxy-4',6,7-Trimethoxyflavanone	3',5-二羟基-4',6,7-三甲氧基黄烷酮	Dihydroflavone	3	1.18E+07	1.28E+07	1.23E+07	1.26E+07	1.23E+07	1.29E+07	1.82E+07	1.60E+07	1.54E+07	2.21E+07	2.13E+07	2.29E+07	1.04E+07	2.01E+07	1.79E+07	2.00E+07	1.78E+07	2.21E+07	1.25E+07	1.31E+07	1.20E+07	2.04E+07	1.87E+07	1.69E+07	1.01E+07	1.05E+07	9.79E+06	1.54E+07	1.47E+07	1.76E+07	1.55E+07	1.52E+07	1.59E+07	1.25E+07	1.50E+07	1.37E+07
