OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_1291	0	9	16	0	0	0	0	0	0	0	0	0	0	0	0	9	8	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_1293	0	14	0	0	0	0	0	0	0	0	0	0	44	0	0	185	78	20	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_1294	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_132	0	0	0	0	0	1	0	0	0	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	1	8	7	85
OTU_139	0	0	0	0	0	8	0	0	0	53	10	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	5	37	22	407
OTU_140	101	9	1	0	0	0	76	0	0	0	0	0	0	0	0	88	92	20	0	32	0	0	0	0	0	0	1	75	23	438	0	0	0	0	0	0
OTU_141	1783	246	485	0	0	0	0	0	0	0	0	0	0	0	0	1617	2273	1360	2	3	171	0	0	0	0	2	2	192	259	20	0	0	0	0	0	0
OTU_143	0	0	0	1	2	0	1	0	0	5	9	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	311	184	40	14	72
OTU_147	0	0	0	4	1	21	0	1	1	4	5	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	7	3	5	0	5
OTU_149	0	0	0	6	2	1	2	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	13	18	10	12	2	62
OTU_151	0	1	1	92	70	228	1	1	0	288	160	120	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	1764	1509	709	279	639
OTU_155	0	0	0	1	3	2	0	0	0	8	9	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	164	146	12	6	33
OTU_157	0	9	0	0	0	0	0	0	0	1	7	6	0	0	0	0	0	0	14	17	58	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_161	0	0	0	1	1	22	0	2	1	1	2	4	3	1	2	0	0	0	0	2	0	0	0	0	0	0	0	8	3	5	3	3	8	3	7	1
OTU_163	0	0	0	0	0	1	0	0	0	4	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
OTU_170	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	1	1	1	0	0	0	0	0	0	0
OTU_174	0	2	1	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	429	1	0	0	0	0	21	9	2	0	0	1	0	0	0
OTU_175	10	38	1	0	0	0	0	0	0	0	0	0	0	0	0	162	162	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	27	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	19	30	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_181	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	20	14	295	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_182	1	0	0	151	38	14	46	2	1	15	5	76	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	28	0	55	74	156	128	340	85	1103
OTU_191	0	0	0	0	0	1	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	5	9	2	22
OTU_192	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	154	719	92	281	1	0	63	0	5	1	75	0	1	0	0	0	48	0
OTU_196	0	19	1	0	0	0	15	0	0	0	0	0	112	1	65	0	0	1	0	19	0	256	474	0	0	0	0	0	1	0	1	0	0	0	50	0
OTU_197	52	511	1351	0	0	0	0	0	0	0	0	0	0	0	0	333	286	391	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_200	17	0	0	15	0	0	0	0	0	0	0	0	0	62	0	9	16	5	0	18	0	321	14	108	0	0	0	33	312	198	0	0	0	0	0	0
OTU_202	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	6	0
OTU_203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	33	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_208	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1249	518	598	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
OTU_210	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	7	10	0	0	64	90	0	0	123	0	0	1	528	153	0	0	0	31	0	0
OTU_211	30	15	49	0	0	0	0	0	0	0	0	0	0	0	0	354	213	55	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
OTU_212	23	28	44	0	0	0	0	0	0	0	0	0	0	0	0	9	5	9	17	19	11	0	0	26	2	2	0	9	8	3	0	0	0	0	0	0
OTU_226	83	51	72	0	0	0	0	0	0	0	0	0	0	0	0	11	46	21	46	49	46	14	0	17	0	1	0	4	19	17	0	0	0	0	0	0
OTU_227	0	0	0	9	0	0	0	0	0	0	0	0	0	45	0	0	0	0	14	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_230	0	0	0	0	80	0	64	1	0	0	0	0	0	58	0	0	10	4	0	0	0	0	67	0	37	0	0	28	52	172	0	0	0	35	0	0
OTU_240	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	754	0	0	0	0	1	79	222	50	0	0	0	0	0	0
OTU_241	1	0	1	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_245	0	0	0	0	135	35	0	88	0	0	0	0	0	0	0	0	1	0	14	0	0	176	0	235	0	0	0	0	1	0	0	0	0	0	0	12
OTU_246	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16	145	0	0	0	28	1	0	26	1	0	0	0	0	0	0
OTU_248	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_249	0	0	0	0	0	0	0	0	16	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0
OTU_259	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	708	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_261	18	17	19	0	0	0	0	0	0	0	0	0	0	0	0	5	12	13	8	12	14	0	0	0	20	0	1	1	1	16	0	0	0	0	0	0
OTU_264	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	157	0	0	0	1	1	2	1	0	0	0	0	0	0	0
OTU_267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_268	0	0	0	0	0	26	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	32	0	0
OTU_273	20	1	65	0	0	0	117	191	0	0	0	0	0	0	0	48	19	28	3599	2164	2224	2	2	0	949	32	9	43	75	150	0	0	1	0	0	0
OTU_274	40	4	0	0	0	0	93	0	0	0	0	0	0	9	0	1	1	0	0	590	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_275	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	33	28	12	1	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
