OTU_ID	CK0_1	CK0_2	CK0_3	GCP11_1	GCP11_2	GCP11_3	GCP16_1	GCP16_2	GCP16_3	GCP18_1	GCP18_2	GCP18_3	GCP19_1	GCP19_2	GCP19_3	GCP01_1	GCP01_2	GCP01_3	GCP02_1	GCP02_2	GCP02_3	GCP03_1	GCP03_2	GCP03_3	GCP04_1	GCP04_2	GCP04_3	GCP05_1	GCP05_2	GCP05_3	GCP06_1	GCP06_2	GCP06_3	GCP08_1	GCP08_2	GCP08_3
OTU_342	0	0	0	3	2	7	7	11	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
OTU_343	0	0	0	0	1	0	6	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	6	4	0	0	1	0	0	0	0
OTU_345	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_347	0	0	0	0	1	2	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_349	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0
OTU_35	1	5	1	26	18	42	28	29	34	3	1	7	28	36	62	6	0	0	1	1	1	37	63	42	18	95	44	165	379	449	18	9	7	11	8	7
OTU_350	0	1	1	1	0	0	14	0	1	1	0	0	3	2	6	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
OTU_351	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0
OTU_352	6	5	1	0	0	0	11	3	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	6	3	0	0	3	7	8	0	0	0	0	0	0
OTU_353	0	0	1	2	4	0	27	6	0	1	0	0	3	0	1	0	0	1	0	0	0	2	0	0	0	0	0	8	13	0	0	0	1	1	0	0
OTU_356	0	0	0	1	0	2	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
